"","Date","Open","High","Low","Close"
"1",2014-06-23,8272.46,8282.66,8188.12,8237.72
"2",2014-06-24,8205.11,8272.46,8203.62,8272.46
"3",2014-06-25,8191.29,8212.65,8164.48,8205.11
"4",2014-06-26,8142.15,8199.95,8142.15,8191.29
"5",2014-06-27,8146.86,8187.25,8120.89,8142.15
"6",2014-06-30,8163.67,8178.21,8112.93,8146.86
"7",2014-07-01,8215.48,8215.48,8147.44,8163.67
"8",2014-07-02,8147.81,8243.22,8147.81,8215.48
"9",2014-07-03,8228.48,8261.74,8114.84,8147.81
"10",2014-07-04,8245.37,8245.37,8183.47,8228.48
"11",2014-07-07,8285.34,8297.01,8210.23,8245.37
"12",2014-07-08,8246.95,8287.07,8246.95,8285.34
"13",2014-07-09,8232.04,8276.55,8232.04,8246.95
"14",2014-07-10,8262.75,8263.38,8200.26,8232.04
"15",2014-07-11,8275.38,8371.72,8258.86,8262.75
"16",2014-07-14,8231.05,8289.22,8231.05,8275.38
"17",2014-07-15,8183.07,8236.25,8148.49,8231.05
"18",2014-07-16,8254.18,8255.39,8180.03,8183.07
"19",2014-07-17,8317.59,8335.46,8241.33,8254.18
"20",2014-07-18,8339.23,8339.23,8263.77,8317.59
"21",2014-07-21,8339.23,8339.23,8263.77,8317.59
"22",2014-07-22,8370.33,8385.23,8332.27,8339.23
"23",2014-07-23,8416.45,8416.45,8343.36,8370.33
"24",2014-07-24,8424.2,8424.2,8379.12,8416.45
"25",2014-07-25,8420.26,8451.64,8417.95,8424.2
"26",2014-07-28,8438.65,8441.68,8401.4,8420.26
"27",2014-07-29,8445.8,8455.66,8406.69,8438.65
"28",2014-07-30,8428.13,8474.41,8427.92,8445.8
"29",2014-07-31,8414.99,8448.67,8406.96,8428.13
"30",2014-08-01,8433.76,8446.46,8409.15,8414.99
"31",2014-08-04,8381.35,8455.77,8381.35,8433.76
"32",2014-08-05,8354.05,8396.25,8349.83,8381.35
"33",2014-08-06,8313.67,8365.28,8313.67,8354.05
"34",2014-08-07,8213.49,8335.68,8213.49,8313.67
"35",2014-08-08,8172.15,8248.73,8172.15,8213.49
"36",2014-08-11,8121.24,8178.76,8119.85,8172.15
"37",2014-08-12,8144.13,8178.95,8111.38,8121.24
"38",2014-08-13,8147.03,8199.95,8138.14,8144.13
"39",2014-08-14,8139.83,8189.14,8136.71,8147.03
"40",2014-08-15,8078.86,8146.79,8078.86,8139.83
"41",2014-08-18,8040.38,8105.59,8030.05,8078.86
"42",2014-08-19,8044.81,8092.2,8031.79,8040.38
"43",2014-08-20,8023.87,8076.52,8021.67,8044.81
"44",2014-08-21,7895.85,8042.81,7895.85,8023.87
"45",2014-08-22,7877.05,7900.51,7809.68,7895.85
"46",2014-08-25,7847.99,7898.77,7845.89,7877.05
"47",2014-08-26,7820.36,7893.62,7798.57,7847.99
"48",2014-08-27,7965.53,7965.53,7793.91,7820.36
"49",2014-08-28,7995.58,8009.52,7952.14,7965.53
"50",2014-08-29,7923.8,8044.98,7923.8,7995.58
"51",2014-09-01,7961.21,7970.09,7886.89,7923.8
"52",2014-09-02,7934.79,7999.84,7916.53,7961.21
"53",2014-09-03,7943.47,7962.78,7917.47,7934.79
"54",2014-09-04,7911.16,7953.16,7887.92,7943.47
"55",2014-09-05,7975.89,7975.89,7884.45,7911.16
"56",2014-09-08,7937.44,7990.41,7937.37,7975.89
"57",2014-09-09,7935.09,7937.44,7882.68,7937.44
"58",2014-09-10,7952.62,8015.63,7928.59,7935.09
"59",2014-09-11,7931.98,7975.38,7931.36,7952.62
"60",2014-09-12,7930.96,7938.14,7893,7931.98
"61",2014-09-15,7917.57,7934.37,7892.08,7930.96
"62",2014-09-16,7930.92,7939.38,7891.72,7917.57
"63",2014-09-17,7882.55,7961.43,7882.19,7930.92
"64",2014-09-18,7737.38,7901.8,7737.38,7882.55
"65",2014-09-19,7738.3,7749.39,7711.46,7737.38
"66",2014-09-22,7722.55,7739.67,7699.57,7738.3
"67",2014-09-23,7727.42,7750.17,7714.9,7722.55
"68",2014-09-24,7743.15,7761.06,7727.42,7727.42
"69",2014-09-25,7772.17,7778.39,7719.11,7743.15
"70",2014-09-26,7747.81,7785.73,7738.73,7772.17
"71",2014-09-29,7669.23,7764.58,7669.23,7747.81
"72",2014-09-30,7659.74,7669.23,7612.62,7669.23
"73",2014-10-01,7692.46,7693.89,7646.2,7659.74
"74",2014-10-02,7679.31,7711.78,7645.06,7692.46
"75",2014-10-03,7646.16,7701.25,7639.03,7679.31
"76",2014-10-06,7640.33,7654.81,7598.47,7646.16
"77",2014-10-07,7682.5,7682.64,7623.22,7640.33
"78",2014-10-08,7630.02,7695.61,7630.02,7682.5
"79",2014-10-09,7624.98,7677.69,7622.87,7630.02
"80",2014-10-10,7683.02,7693.18,7620.37,7624.98
"81",2014-10-13,7684.3,7698.29,7669.71,7683.02
"82",2014-10-14,7706.28,7710.78,7676.75,7684.3
"83",2014-10-15,7684.49,7713.39,7675.19,7706.28
"84",2014-10-16,7662.51,7702.86,7651.65,7684.49
"85",2014-10-17,7719.21,7719.21,7642.75,7662.51
"86",2014-10-20,7728.5,7748.73,7705.98,7719.21
"87",2014-10-21,7711.71,7733.54,7692.48,7728.5
"88",2014-10-22,7597.53,7720.72,7597.53,7711.71
"89",2014-10-23,7568.4,7612.34,7562.1,7597.53
"90",2014-10-24,7512.28,7590.13,7512.28,7568.4
"91",2014-10-27,7573.69,7585.31,7492.98,7512.28
"92",2014-10-28,7572.58,7590.45,7555.47,7573.69
"93",2014-10-29,7595.48,7608.74,7557.35,7572.58
"94",2014-10-30,7628.75,7653.4,7593.57,7595.48
"95",2014-10-31,7681.01,7694.9,7626.23,7628.75
"96",2014-11-03,7612.86,7693.6,7612.86,7681.01
"97",2014-11-04,7615.54,7667.82,7598.66,7612.86
"98",2014-11-05,7622.16,7670.91,7609.29,7615.54
"99",2014-11-06,7630.57,7673.67,7607.9,7622.16
"100",2014-11-07,7666.31,7689.69,7630.57,7630.57
"101",2014-11-10,7632.74,7684.24,7632.74,7666.31
"102",2014-11-11,7635.09,7664.92,7630.76,7632.74
"103",2014-11-12,7529.73,7651.75,7529.69,7635.09
"104",2014-11-13,7527.67,7544.46,7507.03,7529.73
"105",2014-11-14,7485.73,7538.89,7485.73,7527.67
"106",2014-11-17,7487.71,7525.13,7465.12,7485.73
"107",2014-11-18,7461.93,7503.61,7455.97,7487.71
"108",2014-11-19,7459.09,7521.05,7450.86,7461.93
"109",2014-11-20,7446.29,7471.66,7426.6,7459.09
"110",2014-11-21,7558.34,7558.34,7404.08,7446.29
"111",2014-11-24,7594.91,7594.91,7538.85,7558.34
"112",2014-11-25,7624.93,7637.79,7578.33,7594.91
"113",2014-11-26,7576.59,7655.19,7576.59,7624.93
"114",2014-11-27,7651.76,7693.9,7576.59,7576.59
"115",2014-11-28,7683.96,7683.96,7647.37,7651.76
"116",2014-12-01,7694.19,7717.5,7675.07,7683.96
"117",2014-12-02,7689.61,7694.19,7636.05,7694.19
"118",2014-12-03,7723.07,7723.07,7642.86,7689.61
"119",2014-12-04,7682.33,7728.17,7678.84,7723.07
"120",2014-12-05,7721.52,7744.55,7650.3,7682.33
"121",2014-12-08,7733.24,7764.37,7689.02,7721.52
"122",2014-12-09,7722.74,7746.91,7719.02,7733.24
"123",2014-12-10,7724.95,7745.99,7708.74,7722.74
"124",2014-12-11,7697.51,7759.74,7697.51,7724.95
"125",2014-12-12,7694.73,7715.21,7676.43,7697.51
"126",2014-12-15,7715.68,7715.68,7668.41,7694.73
"127",2014-12-16,7638.03,7762.88,7637.93,7715.68
"128",2014-12-17,7614.48,7642.15,7605.35,7638.03
"129",2014-12-18,7576.36,7630.57,7557.24,7614.48
"130",2014-12-19,7648.98,7668.22,7569,7576.36
"131",2014-12-22,7548.44,7724.81,7548.44,7648.98
"132",2014-12-23,7542.77,7584.88,7542.68,7548.44
"133",2014-12-24,7544.89,7607.51,7542.37,7542.77
"134",2014-12-25,7554.47,7557.4,7493.59,7544.89
"135",2014-12-26,7513.72,7581.32,7509.83,7554.47
"136",2014-12-29,7515.38,7523.57,7480.49,7513.72
"137",2014-12-30,7489.84,7542.57,7486.8,7515.38
"138",2014-12-31,7512.96,7512.96,7460.21,7489.84
"139",2015-01-01,7529.35,7533.81,7476.85,7512.96
"140",2015-01-02,7453.75,7538.71,7453.75,7529.35
"141",2015-01-05,7423.46,7497.68,7387.09,7453.75
"142",2015-01-06,7455.24,7457.48,7408.79,7423.46
"143",2015-01-07,7460.7,7461.13,7403.25,7455.24
"144",2015-01-08,7488.2,7488.26,7452.18,7460.7
"145",2015-01-09,7483.58,7494.72,7450.12,7488.2
"146",2015-01-12,7469.51,7494.77,7450.6,7483.58
"147",2015-01-13,7481.99,7504.51,7452,7469.51
"148",2015-01-14,7496.36,7496.86,7446.68,7481.99
"149",2015-01-15,7504.25,7506,7472.65,7496.36
"150",2015-01-16,7410.97,7509,7410,7504.25
"151",2015-01-19,7486.91,7492.84,7409.4,7410.97
"152",2015-01-20,7440.47,7533.77,7440.47,7486.91
"153",2015-01-21,7425.83,7456.63,7386.66,7440.47
"154",2015-01-22,7360.55,7426.14,7360.55,7425.83
"155",2015-01-23,7455.67,7455.67,7319.96,7360.55
"156",2015-01-26,7401.72,7465.31,7367.21,7455.67
"157",2015-01-27,7410.04,7442.09,7384.51,7401.72
"158",2015-01-28,7417.76,7431.14,7397.4,7410.04
"159",2015-01-29,7417.73,7448.36,7403.51,7417.76
"160",2015-01-30,7446.53,7482.73,7396.57,7417.73
"161",2015-02-02,7342.43,7469.75,7342.43,7446.53
"162",2015-02-03,7321.72,7385.39,7304.89,7342.43
"163",2015-02-04,7327.39,7373.53,7309.04,7321.72
"164",2015-02-05,7291.28,7361.5,7291.28,7327.39
"165",2015-02-06,7354.57,7380.33,7279.86,7291.28
"166",2015-02-09,7414.34,7414.34,7342.48,7354.57
"167",2015-02-10,7389.7,7428.11,7368.38,7414.34
"168",2015-02-11,7374.83,7405.26,7324.99,7389.7
