"","x"
"1",-0.0185380380549477
"2",-0.0184160610393475
"3",-0.0182921162257498
"4",-0.0181661812549482
"5",-0.0180382340869454
"6",-0.0150985490545347
"7",-0.0150027749767796
"8",-0.0149054565010769
"9",-0.0148065761322563
"10",-0.0147061166236584
"11",-0.0133025202755992
"12",-0.0132232649793272
"13",-0.0131426822983514
"14",-0.0130607554664292
"15",-0.0129774678535395
"16",-0.012389588886309
"17",-0.0123191388556599
"18",-0.0122474693656012
"19",-0.012174563697308
"20",-0.0121004052001278
"21",-0.011417563335834
"22",-0.0113569014610733
"23",-0.0112951328469115
"24",-0.011232240523543
"25",-0.011168207507319
"26",-0.0105275358210699
"27",-0.0104743546062511
"28",-0.0104201705228486
"29",-0.0103649671501536
"30",-0.0103087280074546
"31",-0.00990954494416099
"32",-0.0098611232238142
"33",-0.00981176970464922
"34",-0.00976146853586001
"35",-0.00971020378306887
"36",-0.00927960083213535
"37",-0.00923569157159707
"38",-0.0091909216918836
"39",-0.00914527605562175
"40",-0.00909873942441153
"41",-0.00886646126911331
"42",-0.00882539974552662
"43",-0.00878352370476255
"44",-0.00874081851394965
"45",-0.00869726942975301
"46",-0.00834554205642174
"47",-0.00830804317313937
"48",-0.00826978759914649
"49",-0.00823076133844934
"50",-0.00819095027291229
"51",-0.00799618982994543
"52",-0.00796086216657725
"53",-0.00792481548431209
"54",-0.00788803629116812
"55",-0.00785051096950017
"56",-0.00757217692073986
"57",-0.00753910898655917
"58",-0.00750536533759021
"59",-0.00747093320916924
"60",-0.00743579971408648
"61",-0.00726003204499146
"62",-0.00722847794006489
"63",-0.0071962787960482
"64",-0.00716342242006779
"65",-0.00712989650177202
"66",-0.00679724535847212
"67",-0.00676762855229499
"68",-0.00673740941299337
"69",-0.00670657665882232
"70",-0.00667511890365133
"71",-0.00650629219220048
"72",-0.00647778766215645
"73",-0.00644870655987913
"74",-0.00641903819221874
"75",-0.00638877177163633
"76",-0.00608319911896314
"77",-0.00605617031363074
"78",-0.00602860083728623
"79",-0.00600048086947601
"80",-0.00597180051216036
"81",-0.0056981002915315
"82",-0.00567236671453904
"83",-0.00564612455674692
"84",-0.00561936479434175
"85",-0.00559207834184904
"86",-0.00536954876268233
"87",-0.005344891397831
"88",-0.0053197524600906
"89",-0.00529412360567857
