"","x"
"1",-0.0422982488441454
"2",-0.0421234908208667
"3",-0.0419440389731216
"4",-0.0417597624941554
"5",-0.0415705273033805
"6",-0.0347798251394463
"7",-0.0346548462385416
"8",-0.0345263471957208
"9",-0.0343942236491304
"10",-0.0342583683529847
"11",-0.0306560467687199
"12",-0.0305606051046581
"13",-0.0304622888837298
"14",-0.0303610059496595
"15",-0.0302566613197711
"16",-0.0279544091381437
"17",-0.0278800972870316
"18",-0.0278033396629228
"19",-0.0277240507171093
"20",-0.0276421420199415
"21",-0.0257461806492579
"22",-0.0256904795583581
"23",-0.0256326872190006
"24",-0.0255727224855703
"25",-0.0255105012251821
"26",-0.0245152260837221
"27",-0.0244675044794962
"28",-0.0244178714839285
"29",-0.0243662495207092
"30",-0.0243125580495236
"31",-0.022967630734136
"32",-0.0229270491599405
"33",-0.0228847497852761
"34",-0.022840660345638
"35",-0.022794705732545
"36",-0.0210448585219479
"37",-0.0210110073304416
"38",-0.020975647879248
"39",-0.0209387147378369
"40",-0.0209001398366813
"41",-0.0199834955284716
"42",-0.0199528525089557
"43",-0.0199208084620079
"44",-0.0198873017149002
"45",-0.01985226807917
"46",-0.0187883796377714
"47",-0.018760936142969
"48",-0.0187322050749695
"49",-0.018702128953186
"50",-0.0186706479270664
"51",-0.0175759727739736
"52",-0.0175514741329213
"53",-0.0175257974440253
"54",-0.0174988894332318
"55",-0.0174706946085765
"56",-0.0163927333512968
"57",-0.0163711886579611
"58",-0.0163485738017995
"59",-0.0163248395840675
"60",-0.0162999347325527
"61",-0.0152456085894625
"62",-0.0152272323838063
"63",-0.0152078954200596
"64",-0.0151875524278506
"65",-0.015166156194682
"66",-0.014524410911048
"67",-0.0145082723227172
"68",-0.0144912455645113
"69",-0.0144732878159826
"70",-0.0144543543903299
"71",-0.0136452063452101
"72",-0.013632183907151
"73",-0.0136183675819966
"74",-0.0136037174946822
"75",-0.0135881919853731
"76",-0.0125290874069466
"77",-0.0125201575289041
"78",-0.0125105552543864
"79",-0.0125002444155868
"80",-0.0124891871587779
"81",-0.0118838085808366
"82",-0.0118773610561432
"83",-0.0118703129436988
"84",-0.0118626301961607
"85",-0.0118542771337361
"86",-0.0113305688504819
"87",-0.0113262626098045
"88",-0.0113214174398038
"89",-0.0113160011019119
"90",-0.0113099797701446
"91",-0.0106853117825019
"92",-0.0106835975357434
"93",-0.0106814175096836
"94",-0.0106787415546431
"95",-0.0106755379830078
"96",-0.0101875044386206
"97",-0.0101874655616399
"98",-0.010187130324103
"99",-0.0101863147019562
"100",-0.0101850275624243
"101",-0.00964406531010329
"102",-0.00964364685588207
"103",-0.00964281249172917
"104",-0.00964159036344495
"105",-0.00964000718073459
"106",-0.00920569485917513
"107",-0.00920413237446642
"108",-0.00920219507363608
"109",-0.00919990960231402
"110",-0.0091973012210186
"111",-0.0087323262566541
"112",-0.0087298365300842
"113",-0.00872701088925276
"114",-0.00872387439266462
"115",-0.00872045077368611
"116",-0.00829601736190819
"117",-0.00829288849159378
"118",-0.00828945548632348
"119",-0.00828574197998351
"120",-0.00828177033938812
"121",-0.00800628625510692
"122",-0.00800283588397636
"123",-0.00799910044109898
"124",-0.00799510263854309
"125",-0.00799086396092288
"126",-0.00743236872247631
"127",-0.00742850026885007
"128",-0.00742438002220935
"129",-0.00742002892917321
"130",-0.0074154667892398
"131",-0.00700246406512441
"132",-0.00699839975597125
"133",-0.00699410609238391
"134",-0.00698960273674309
"135",-0.00698490826519198
"136",-0.00657022448115107
"137",-0.00656605525350436
"138",-0.00656167722843748
"139",-0.00655710881058886
"140",-0.00655236737994697
"141",-0.00621773894485265
"142",-0.00621357387474578
"143",-0.0062092147856573
"144",-0.0062046790911056
"145",-0.00619998323046927
"146",-0.00601418508385339
"147",-0.00601007994340289
"148",-0.00600578801826878
"149",-0.00600132617348674
"150",-0.00599671032922594
"151",-0.00563776927109815
"152",-0.00563384500910159
"153",-0.00562974571500739
"154",-0.00562548727171489
"155",-0.00562108467134468
"156",-0.00519833924899059
"157",-0.00519467890476998
"158",-0.00519085599666059
"159",-0.00518688528736474
"160",-0.00518278071178236
"161",-0.00486994822421312
"162",-0.004866526962624
"163",-0.00486295145451587
"164",-0.00485923564679936
"165",-0.00485539270549554
"166",-0.00455723962974071
"167",-0.0045540630244741
"168",-0.004550739670098
"169",-0.00454728274679371
"170",-0.00454370469836563
"171",-0.0041371689838086
"172",-0.0041343307372161
"173",-0.00413135555301573
"174",-0.0041282555888425
"175",-0.00412504232554121
"176",-0.00376838903359281
"177",-0.00376588313969678
"178",-0.00376324806067401
"179",-0.0037604950757637
"180",-0.00375763483952274
"181",-0.00337696527082029
"182",-0.00337483720644237
"183",-0.00337258756168874
"184",-0.00337022669820872
"185",-0.00336776440806273
"186",-0.00303711031367083
"187",-0.00303532755622826
"188",-0.00303342938583142
"189",-0.00303142537809037
"190",-0.00302932458667924
"191",-0.00260774832378235
"192",-0.00260640000801213
"193",-0.00260494408584926
"194",-0.00260338914151374
"195",-0.00260174329731198
"196",-0.00241386789253459
"197",-0.00241271450129493
"198",-0.00241145704619518
"199",-0.00241010366428972
"200",-0.00240866205774446
"201",-0.00211676639301844
"202",-0.00211589539642287
"203",-0.0021149261351312
"204",-0.00211386605456211
"205",-0.00211272220656894
"206",-0.0017154293978368
"207",-0.00171490926508651
"208",-0.00171429940354475
"209",-0.00171360631163725
"210",-0.00171283614993203
"211",-0.00136659476819683
"212",-0.00136633859827058
"213",-0.00136600106375323
"214",-0.00136558782237245
"215",-0.00136510424231934
"216",-0.00105061531254456
"217",-0.00105055751785316
"218",-0.00105042686616455
"219",-0.001050228236656
"220",-0.00104996626262376
"221",-0.000741178877392023
"222",-0.000741150701336133
"223",-0.000741147645954477
"224",-0.000741060901997881
"225",-0.000741059019552757
"226",-0.000415077402187888
"227",-0.000415032788652106
"228",-0.00041494215987592
"229",-0.000414802422160258
"230",-0.000414610323277543
"231",-0.00011364706388393
"232",-0.00011353929338502
"233",-0.000113395612471527
"234",-0.000113213691278834
"235",-0.000112991082456851
"236",0.000173694968894592
"237",0.000173805127165984
"238",0.000173940274230302
"239",0.000174101990604523
"240",0.00017429193555281
"241",0.000484087612925997
"242",0.00048416179715736
"243",0.000484248331007536
"244",0.000484347972727083
"245",0.000484461517800419
"246",0.00076529732835473
"247",0.00076529732835473
"248",0.00076529732835473
"249",0.00076529732835473
"250",0.00076529732835473
"251",0.00115622016837271
"252",0.00115675421593839
"253",0.00115728603190989
"254",0.00115781485013396
"255",0.00115833985151255
"256",0.0015687593648286
"257",0.00156983682617701
"258",0.00157090917693495
"259",0.00157197482925054
"260",0.00157303208623797
"261",0.00189020542164976
"262",0.00189167845400192
"263",0.00189314342336336
"264",0.00189459808473579
"265",0.00189604004017873
"266",0.00218999246425988
"267",0.0021918331008317
"268",0.0021936628743562
"269",0.00219547892490924
"270",0.0021972781985688
"271",0.00257352753795225
"272",0.00257583898061051
"273",0.00257813597227955
"274",0.00258041486485188
"275",0.002582671763565
"276",0.00300951500523355
"277",0.00301234818342701
"278",0.00301516247682499
"279",0.00301795333195039
"280",0.00302071588861773
"281",0.00333199668376737
"282",0.00333519514171154
"283",0.00333837090953479
"284",0.00334151875142757
"285",0.00334463308028334
"286",0.00371991852593508
"287",0.00372351347696586
"288",0.00372708008782318
"289",0.00373061227741538
"290",0.00373410355949483
"291",0.00402893161073027
"292",0.00403280204061096
"293",0.00403663863328329
"294",0.00404043461224172
"295",0.00404418275276975
"296",0.00453208301861464
"297",0.00453633653971941
"298",0.00454054567411183
"299",0.00454470247835894
"300",0.00454879849052894
"301",0.00487738716085056
"302",0.00488184737561584
"303",0.00488625461175754
"304",0.00489060009687286
"305",0.00489487449175907
"306",0.00536178388686727
"307",0.00536642636118882
"308",0.00537100126603631
"309",0.00537549861609599
"310",0.00537990779159613
"311",0.00567490695925283
"312",0.00567960848398716
"313",0.00568423164406344
"314",0.00568876564424164
"315",0.0056931990112085
"316",0.00626534682381396
"317",0.00627001146874262
"318",0.00627457403209359
"319",0.00627902213173415
"320",0.00628334262582527
"321",0.00654826373574543
"322",0.00655291113015429
"323",0.00655744507016131
"324",0.00656185241176035
"325",0.00656611921200135
"326",0.00683989794483601
"327",0.00684454884657177
"328",0.00684907502525651
"329",0.00685346255759625
"330",0.0068576966806421
"331",0.00720145826363869
"332",0.00720613973955062
"333",0.00721068308477989
"334",0.00721507341751807
"335",0.00721929496550779
"336",0.00761714183225919
"337",0.00762188872894502
"338",0.00762648273361321
"339",0.00763090787146316
"340",0.00763514721848236
"341",0.00794920032764494
"342",0.00795403426685927
"343",0.00795870428877483
"344",0.00796319355711167
"345",0.00796748423909857
"346",0.00836072472057413
"347",0.00836569246921767
"348",0.00837048319957682
"349",0.00837507901546058
"350",0.00837946096526236
"351",0.00870522507149768
"352",0.00871031420328747
"353",0.00871521553762624
"354",0.00871991029238349
"355",0.00872437858045725
"356",0.00910788619431657
"357",0.0091131031682376
"358",0.00911811938969042
"359",0.0091229150320668
"360",0.00912746910569172
"361",0.00951539516195174
"362",0.0095207297297433
"363",0.00952585012849305
"364",0.00953073546638059
"365",0.00953536362953109
"366",0.010120513366163
"367",0.010126068833902
"368",0.0101313912183395
"369",0.0101364580599227
"370",0.0101412455888672
"371",0.0106875556442569
"372",0.0106933196908308
"373",0.0106988329121762
"374",0.0107040713752229
"375",0.0107090097536552
"376",0.0110898775980164
"377",0.0110958488940931
"378",0.0111015581118746
"379",0.0111069802944848
"380",0.0111120890323998
"381",0.0118661439864986
"382",0.011872694343292
"383",0.0118789650557912
"384",0.0118849292657219
"385",0.0118905585465361
"386",0.0125738207841846
"387",0.0125810302450957
"388",0.0125879471212393
"389",0.0125945428771307
"390",0.0126007873029049
"391",0.0131034197866462
"392",0.0131112538078941
"393",0.0131187887112322
"394",0.0131259947678518
"395",0.0131328404947784
"396",0.0137274840322639
"397",0.0137361919762715
