"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-12,0.0993,0.0997,0.0993,0.0993,469033600
1980-12-15,0.0946,0.0946,0.0941,0.0941,175884800
1980-12-16,0.0876,0.0876,0.0872,0.0872,105728000
1980-12-17,0.0894,0.0898,0.0894,0.0894,86441600
1980-12-18,0.0920,0.0924,0.0920,0.0920,73449600
1980-12-19,0.0976,0.0980,0.0976,0.0976,48630400
1980-12-22,0.1023,0.1028,0.1023,0.1023,37363200
1980-12-23,0.1067,0.1071,0.1067,0.1067,46950400
1980-12-24,0.1123,0.1127,0.1123,0.1123,48003200
1980-12-26,0.1226,0.1230,0.1226,0.1226,55574400
1980-12-29,0.1243,0.1248,0.1243,0.1243,93161600
1980-12-30,0.1218,0.1218,0.1213,0.1213,68880000
1980-12-31,0.1183,0.1183,0.1179,0.1179,35750400
1981-01-02,0.1192,0.1200,0.1192,0.1192,21660800
1981-01-05,0.1170,0.1170,0.1166,0.1166,35728000
1981-01-06,0.1118,0.1118,0.1114,0.1114,45158400
1981-01-07,0.1071,0.1071,0.1067,0.1067,55686400
1981-01-08,0.1049,0.1049,0.1045,0.1045,39827200
1981-01-09,0.1101,0.1105,0.1101,0.1101,21504000
1981-01-12,0.1101,0.1101,0.1092,0.1092,23699200
1981-01-13,0.1058,0.1058,0.1054,0.1054,23049600
1981-01-14,0.1058,0.1062,0.1058,0.1058,14291200
1981-01-15,0.1079,0.1088,0.1079,0.1079,14067200
1981-01-16,0.1075,0.1075,0.1071,0.1071,13395200
1981-01-19,0.1135,0.1140,0.1135,0.1135,41574400
1981-01-20,0.1105,0.1105,0.1101,0.1101,30083200
1981-01-21,0.1123,0.1131,0.1123,0.1123,15904000
1981-01-22,0.1135,0.1144,0.1135,0.1135,35548800
1981-01-23,0.1135,0.1140,0.1131,0.1131,11222400
1981-01-26,0.1118,0.1118,0.1114,0.1114,24640000
1981-01-27,0.1114,0.1114,0.1105,0.1105,23699200
1981-01-28,0.1075,0.1075,0.1071,0.1071,28156800
1981-01-29,0.1036,0.1036,0.1032,0.1032,43904000
1981-01-30,0.0984,0.0984,0.0976,0.0976,46188800
1981-02-02,0.0924,0.0924,0.0920,0.0920,23766400
1981-02-03,0.0954,0.0959,0.0954,0.0954,19152000
1981-02-04,0.0989,0.0993,0.0989,0.0989,27865600
1981-02-05,0.0989,0.0997,0.0989,0.0989,7929600
1981-02-06,0.0993,0.0997,0.0993,0.0993,13865600
1981-02-09,0.0950,0.0950,0.0941,0.0941,16755200
1981-02-10,0.0941,0.0946,0.0941,0.0941,18345600
1981-02-11,0.0915,0.0915,0.0911,0.0911,13843200
1981-02-12,0.0907,0.0907,0.0903,0.0903,14560000
1981-02-13,0.0889,0.0889,0.0881,0.0881,11155200
1981-02-17,0.0903,0.0907,0.0903,0.0903,12275200
1981-02-18,0.0941,0.0950,0.0941,0.0941,19241600
1981-02-19,0.0889,0.0889,0.0885,0.0885,22310400
1981-02-20,0.0842,0.0842,0.0838,0.0838,24371200
1981-02-23,0.0850,0.0855,0.0850,0.0850,14112000
1981-02-24,0.0829,0.0829,0.0820,0.0820,16979200
1981-02-25,0.0872,0.0876,0.0872,0.0872,19488000
1981-02-26,0.0885,0.0889,0.0885,0.0885,10841600
1981-02-27,0.0915,0.0924,0.0915,0.0915,14761600
1981-03-02,0.0920,0.0924,0.0920,0.0920,11760000
1981-03-03,0.0911,0.0911,0.0907,0.0907,16172800
1981-03-04,0.0903,0.0903,0.0898,0.0898,13708800
1981-03-05,0.0898,0.0898,0.0894,0.0894,5376000
1981-03-06,0.0894,0.0894,0.0885,0.0885,11603200
1981-03-09,0.0820,0.0820,0.0816,0.0816,15321600
1981-03-10,0.0782,0.0782,0.0777,0.0777,28380800
1981-03-11,0.0755,0.0755,0.0747,0.0747,29859200
1981-03-12,0.0777,0.0782,0.0777,0.0777,59248000
1981-03-13,0.0773,0.0773,0.0769,0.0769,231302400
1981-03-16,0.0799,0.0807,0.0799,0.0799,37228800
1981-03-17,0.0838,0.0846,0.0838,0.0838,43747200
1981-03-18,0.0889,0.0898,0.0889,0.0889,36937600
1981-03-19,0.0885,0.0885,0.0881,0.0881,37811200
1981-03-20,0.0889,0.0898,0.0889,0.0889,14604800
1981-03-23,0.0924,0.0933,0.0924,0.0924,22019200
1981-03-24,0.0924,0.0924,0.0920,0.0920,28156800
1981-03-25,0.0911,0.0911,0.0903,0.0903,7056000
1981-03-26,0.0889,0.0889,0.0885,0.0885,12275200
1981-03-27,0.0859,0.0859,0.0855,0.0855,12252800
1981-03-30,0.0855,0.0864,0.0855,0.0855,9900800
1981-03-31,0.0855,0.0855,0.0846,0.0846,15993600
1981-04-01,0.0842,0.0842,0.0838,0.0838,34070400
1981-04-02,0.0911,0.0915,0.0911,0.0911,31404800
1981-04-03,0.0915,0.0920,0.0915,0.0915,16486400
1981-04-06,0.0903,0.0903,0.0898,0.0898,22803200
1981-04-07,0.0894,0.0894,0.0889,0.0889,10684800
1981-04-08,0.0933,0.0941,0.0933,0.0933,21952000
1981-04-09,0.0950,0.0954,0.0950,0.0950,12499200
1981-04-10,0.0963,0.0967,0.0963,0.0963,33465600
1981-04-13,0.0963,0.0967,0.0963,0.0963,16060800
1981-04-14,0.0963,0.0967,0.0963,0.0963,6652800
1981-04-15,0.0920,0.0920,0.0915,0.0915,34048000
1981-04-16,0.0868,0.0868,0.0864,0.0864,23878400
1981-04-20,0.0889,0.0894,0.0889,0.0889,35347200
1981-04-21,0.0950,0.0954,0.0950,0.0950,28537600
1981-04-22,0.0984,0.0989,0.0984,0.0984,18995200
1981-04-23,0.1010,0.1014,0.1010,0.1010,58016000
1981-04-24,0.1010,0.1010,0.1002,0.1002,35056000
1981-04-27,0.0997,0.0997,0.0993,0.0993,38528000
1981-04-28,0.0980,0.0980,0.0976,0.0976,32188800
1981-04-29,0.0967,0.0967,0.0963,0.0963,13641600
1981-04-30,0.0980,0.0989,0.0980,0.0980,12611200
1981-05-01,0.0980,0.0989,0.0980,0.0980,16553600
1981-05-04,0.0980,0.0980,0.0976,0.0976,14448000
1981-05-05,0.0976,0.0976,0.0971,0.0971,17539200
1981-05-06,0.0950,0.0950,0.0946,0.0946,18950400
1981-05-07,0.0959,0.0963,0.0959,0.0959,9363200
1981-05-08,0.0967,0.0971,0.0967,0.0967,7907200
1981-05-11,0.0950,0.0950,0.0946,0.0946,11939200
1981-05-12,0.0946,0.0959,0.0946,0.0946,4256000
1981-05-13,0.0946,0.0954,0.0941,0.0941,4905600
